case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_ABRUPT_001,SYNV2_00001,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00001,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_002,SYNV2_00002,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00002,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_003,SYNV2_00010,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00010,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_004,SYNV2_00016,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00016,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_005,SYNV2_00029,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00029,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_006,SYNV2_00044,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00044,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_007,SYNV2_00087,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00087,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_008,SYNV2_00088,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00088,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_009,SYNV2_00157,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00157,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_010,SYNV2_00167,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00167,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_011,SYNV2_00187,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00187,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_012,SYNV2_00192,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00192,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_013,SYNV2_00194,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00194,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_014,SYNV2_00196,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00196,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_015,SYNV2_00199,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00199,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_016,SYNV2_00201,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00201,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_017,SYNV2_00226,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00226,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_018,SYNV2_00232,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00232,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_019,SYNV2_00239,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00239,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_020,SYNV2_00253,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00253,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_021,SYNV2_00254,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00254,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_022,SYNV2_00259,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00259,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_023,SYNV2_00269,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00269,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_024,SYNV2_00276,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00276,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_025,SYNV2_00282,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00282,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_026,SYNV2_00284,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00284,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_027,SYNV2_00312,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00312,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_028,SYNV2_00325,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00325,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_029,SYNV2_00343,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00343,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_030,SYNV2_00349,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00349,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_031,SYNV2_00352,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00352,False,RC_PRESSURE_INSTABILITY
